text,true_label,predicted_label,result,reason
配管配线应符合下列规定：1 配管、配线设计，有火灾及爆炸危险、灰尘、腐蚀、高温、潮湿、振动、静电、雷击及电磁场干扰环境，应采取防护措施。,method,method,正确,尽管规范开头使用了“应符合下列规定”的表述，类似于宏观指导，但具体条款详细说明了在特定环境下应采取具体的防护措施，符合method类中规定的应采取具体方法或措施的定义。因此，该规范更适合作为method类。
3 缆式感温探测器宜采用直接接触安装方式。,method,method,正确,该规范明确提出了缆式感温探测器的安装方式，即“宜采用直接接触安装方式”，这符合method类的定义，即规定了应采取的方法或措施。虽然间接类也涉及到一些具体要求，但这些要求往往需要从BIM模型中推导和计算得出，而本规范直接指定了安装方式，无需额外计算或推导，因此归类为method类更为合适。
当采用40mm及以上厚度的钢板焊接时，所有杆塔结构的钢材均应采取防止钢材层状撕裂的措施。,method,method,正确,该规范明确指出“应采取防止钢材层状撕裂的措施”，这种表述符合method类的定义，即规定了应采取的方法或措施。虽然规范涉及具体的技术参数和条件，但主要目的是强调采取某种措施，而不是需要从BIM模型中提取信息并进行推导和计算。因此，该规范更符合method类的特征。
12 洁净室的排风系统应设置防止室外气流倒灌的措施。,method,method,正确,该规范明确提出了“应设置防止室外气流倒灌的措施”，符合method类的定义，即规定了应采取的具体方法或措施。与method类样例中的其他条款类似，它们均强调了具体的防护或操作措施，而无需进行额外的推导或计算，因此归类为method类更为合适。
坝体巾孔、底孔宜采取防止冷空气侵入的措施。,method,method,正确,该规范明确提出了“宜采取防止冷空气侵入的措施”，这与method类的定义相符，即规定了应采取的方法或措施。同时，method类的示例也大多涉及“应采取/宜采取”的措辞，并且关注的是具体的措施方法，而不是需要间接计算或推导的信息。因此，该规范更适合归类为method类。
不设置地脚螺栓的非桩基储罐基础可不进行抗震验算，但应符合相应的抗震措施要求。,method,method,正确,该规范明确提出了“应符合相应的抗震措施要求”，这与method类中强调应采取某种方法或措施的要求相符。尽管也有宏观指导性的部分，但核心在于提出具体应采取的抗震措施，这与method类的定义更加契合。
输煤栈桥和其他建筑物连接处应设防止火灾蔓延的保护措施。,method,method,正确,该规范明确提出了“应设防止火灾蔓延的保护措施”，属于规定应采取具体措施的情况，符合method类的定义。尽管它涉及输煤栈桥和其他建筑物连接处的具体防火措施，但没有提到需要通过多个实体之间的关系进行推导和计算，因此不符合indirect类的典型特征。
位于寒冷地区的污水处理构筑物，应有保温防冻措施。,method,method,正确,该规范明确指出了在寒冷地区污水处理构筑物应采取的保温防冻措施，这与method类的定义相符，即规定了应采取的方法或措施。尽管提到了特定环境下的要求，但并未提及具体的施工或维护过程，因此不属于others类。
5 沿外墙架空敷设的给水管应根据当地气象条件采取防冻措施。,method,method,正确,该规范明确提出了应采取防冻措施，符合method类中关于规定应采取的方法或措施的定义。同时，对比others类的样例，该规范并没有涉及到施工或维护阶段的具体要求，也没有提及施工或维护相关的关键词，因此更符合method类的特征。
否则应采用降排水、换填、设置保温层或隔断层等措施。,method,method,正确,该规范明确提出了应采取“降排水、换填、设置保温层或隔断层”等具体措施，符合method类的定义，即规定了应采取的方法或措施。虽然涉及多个步骤，但并未要求进行额外的计算或推导，而是直接指出了具体的操作方法。因此，它更符合method类的特征，而不是需要进行间接计算的indirect类。
有积水的管沟，宜排净水后回填，否则应采取防止回填作业造成管道位移的措施。,method,method,正确,该规范明确提出了“宜排净水后回填，否则应采取防止回填作业造成管道位移的措施”，这符合method类的定义，即规定了应采取的方法或措施。虽然规范涉及到防止管道位移的具体措施，但并未提及需要基于BIM模型进行额外的推导或计算，而是直接指出了应采取的具体行动步骤，因此更适合归类为method类。
泄水孔可采用塑料管或铸铁管等，直径宜为50～100mm，安置时应向下倾斜3％～5％，进水口处应采取反滤和防堵措施。,method,method,正确,该规范描述了泄水孔的材质、直径大小以及安置方式，并强调了应采取的反滤和防堵措施，这些内容符合method类的定义，即规定了应采取的方法或措施。尽管规范中提到了具体的尺寸要求，但这些尺寸更多是为了说明措施的具体实施方式，而不是需要通过BIM模型进行推导和计算的信息。因此，该规范更适合归类为method类。
乙二醇的储存天数，当采用公路或管道运输时，宜为7d～10d；当采用铁路或内河及近海运输时，宜为10d～20d。,others,others,正确,尽管规范中提到了具体的天数范围，但这些天数范围主要与乙二醇的储存时间和运输方式相关，更多地指向施工或维护阶段的实际需求，而不是BIM模型内的直接属性或需要推导和计算的信息，因此归类为others类更为合适。
经过预压固结的地基可采用固结不排水试验。,others,general,错误,该规范提供了关于地基处理的一般性指导原则，即经过预压固结的地基可以采用固结不排水试验。这与general类的定义相符，因为它属于设计过程中的宏观指导，而不是需要通过BIM模型中的间接信息进行推导和计算的具体数值或间距要求。
脱硫剂采用箱内再生时，掺空气后煤气中含氧量应由煤气中硫化氢含量确定。,others,indirect,错误,该规范中的“含氧量应由煤气中硫化氢含量确定”表明需要通过煤气中硫化氢含量的数据来推导出含氧量的具体数值，这符合indirect类中需对从BIM模型直接获得的信息进行推导和计算的要求。而reference类更多指的是需要引入外部的图片、公式、表格以及他条款或附录的情况，该规范并未提及需要参照外部资料，因此不属于reference类。
施工前应进行成桩工艺和成桩强度试验。,others,others,正确,尽管该规范描述了一种应采取的方法或步骤，但由于它明确指出了“施工前”的时间背景，并且涉及到试验确定合理施工工艺的内容，这符合others类中与施工过程相关的条款特征。因此，将其归类为others更为合适。
工艺设备配置，应满足连续生产、大卷装、产量平衡和品种调整的要求。,others,general,错误,该规范提出了工艺设备配置应满足连续生产、大卷装、产量平衡和品种调整的宏观设计要求，类似于general类样本中的总体布置应满足工艺流程、洁净厂房布局应适应生产工艺改造和扩大生产规模的要求等，这些均属于宏观指导性建议，无法直接通过BIM模型处理，因此归类为general类更为合适。
发生火灾时，应能实现报警、急停、自动喷水。,others,direct,错误,该规范明确指出了在发生火灾时应实现的具体功能，即报警、急停、自动喷水，这些功能属性可以直接从BIM模型中检查相关设备或系统的存在情况，而不涉及需要推导和计算的多个系统协同工作。因此，该规范属于direct类。
供热热源应兼顾生产用热与辅助生产用热，宜充分利用生产余热。,others,general,错误,该规范提供了关于供热热源设计的一般性指导，强调了应兼顾生产和辅助生产用热，以及宜充分利用生产余热，这样的宏观指导并不依赖于从BIM模型中进行具体的推导或计算，而是对设计过程的整体方向性建议，因此更符合general类的特征。
点型探测器宜水平安装。,others,method,错误,该规范中的“宜水平安装”描述了推荐的安装方法或措施，符合method类的定义，即规定了应采取的方法或措施。尽管规范涉及点型探测器的安装位置和方式，但并未提及需要基于BIM模型中的信息进行进一步计算或推导，因此更符合method类的特征。
爆炸危险环境的仪表选型应满足车间防爆等级要求。,others,general,错误,该规范中的“爆炸危险环境的仪表选型应满足车间防爆等级要求”是一种宏观指导性要求，类似于general类的其他样本，强调了设计过程中应遵循的原则或要求，而不是具体引用外部标准或规定来进行判断。因此，它更适合归类为general类。
强夯施工前，夯击区内的地下设施应予搬迁；对夯击区周围15m以内的建筑物和地下设施等应考虑振动的影响，必要时应采取防振措施(如挖隔震沟等)或进行加固；在此范围外的，也应注意震动的影响。,others,others,正确,"尽管该规范提到了""应采取防振措施""等具体方法，但整体内容主要关注的是施工前的准备工作和施工过程中对周边环境的影响，特别是提到""强夯施工前""和""必要时应采取防振措施""，这表明规范的重点在于施工阶段的操作和影响，而不是单纯的设计方法或措施，因此更符合others类的定义。"
管道组成件不在制造厂试压时，可在现场进行压力试验；压力试验时，不应发生泄漏、破坏和塑性变形。,others,others,正确,尽管规范中提到了试验过程中应采取的方法和措施，但主要描述的是管道组成件在现场进行压力试验的操作，涉及到施工阶段的具体实施步骤，因此更符合others类的定义，即适用于施工或维护过程中的条款。
牛悬挂畜体剥皮加工工序应包括：牛（宰杀放血）-电刺激-预剥前蹄-去角、前蹄-预剥头皮-编号-去头-（头部检验、冲洗）-扎食管-预剥后腿皮-转挂畜体、换轨（滑轮芯片采集信息）-去后蹄-预剥臀部皮、尾皮-分离直肠-封肛-预剥胸部皮-预剥颈部皮-机器扯皮（编号）-（进入胴体加工工序）。,others,method,错误,尽管该规范描述了牛悬挂畜体剥皮加工工序，看似涉及具体的操作流程，但主要强调的是加工过程中应采取的具体步骤和方法，符合method类的定义。同时，从提供的样例来看，method类的样本多涉及具体操作步骤和措施，与此规范描述的详细加工工序步骤一致。而others类的样本更多涉及施工或维护过程中的具体做法和建议，此规范并不符合这一特征。因此，该规范最终归类为method类。
如果因抗浮不满足要求而将裙房范围设置抗浮桩，由于抗拔桩的支撑作用，裙房的沉降将受到限制，这就加大了高层与裙房间的沉降差，因此应考虑其影响。,others,general,错误,该规范描述了一种普遍的设计指导思想，涉及到设计过程中需要考虑的因素，如抗浮不满足要求时设置抗浮桩带来的裙房沉降差异等问题，需要设计者综合考虑其影响。这与general类的定义相符，即提供宏观设计指导，而这些指导目前无法直接通过BIM模型处理。
氨气浓度报警控制器发出的报警信息应传送至相关制冷机房控制室显示、报警。,others,direct,错误,根据direct类的定义和样例，该类主要关注可以直接从BIM模型中检查的显式属性和实体引用，如设置某个设备或功能。待分类文本中提到的“氨气浓度报警控制器发出的报警信息应传送至相关制冷机房控制室显示、报警”是一个明确的功能要求，可以直接检查BIM模型中是否正确设置了此功能，因此符合direct类的特征。尽管涉及到信息传输，但并不需要复杂的推导或计算，因此不属于indirect类。
4 熔铝炉宜使用磁力搅拌技术。,others,method,错误,该规范明确提出了熔铝炉“宜使用磁力搅拌技术”的具体方法或措施，这与method类的定义相符，即规定了应采取的方法或措施。尽管有“宜使用”的措辞，但仍强调了具体的实施手段，类似于method类样本中的“宜设置称量装置”和“应采取强制通风措施”。而general类则更多涉及设计原则和宏观指导，该规范并不符合general类的宏观指导特点。
当防雷系统采取等电位联结措施时，应将引人建筑内金属设备管道及金属建筑构件等连接成等电位体。,others,method,错误,该规范明确指出“当防雷系统采取等电位联结措施时，应将引人建筑内金属设备管道及金属建筑构件等连接成等电位体”，这是对具体措施和方法的说明，符合method类的定义，即规定了应采取的方法或措施。虽然规范涉及防雷系统的要求，但并未提及需要参照外部的标准或规范，因此不属于reference类。
洁净工作服洗涤、干燥和整理，应符合下列要求：1 空气洁净度100 000级及以上的医药洁净室(区)的洁净工作服洗涤、干燥和整理室，其空气洁净度等级不应低于300 000级。,others,reference,错误,尽管该规范提到了“洁净工作服洗涤、干燥和整理”的具体内容，但它主要关注的是不同级别洁净室的空气洁净度要求。这类条款通常需要参照相关的标准或规范来判断是否符合要求，类似于其他reference类别的样本，它们都涉及到需参照特定标准或规范的内容。因此，该规范更符合reference类的特征。
对铅精矿、锌精矿、混合铅锌精矿中所含主金属外的其他有价元素，应视其含量的经济价值回收利用。,others,general,错误,该规范提供了一种关于如何对待有色金属矿山中有价元素的宏观指导原则，强调根据其经济价值进行回收利用，类似于general类的样本提供的宏观设计原则和指导思想，而不是具体数值或条件的计算和推导。因此，它更适合归类为general类。
3 火灾报警及消防系统联锁功能。,others,method,错误,尽管该规范提到“火灾报警及消防系统联锁功能”可能涉及施工或维护阶段，但其核心在于规定了应采取何种联锁功能措施，这与method类中的其他样本相似，如“应设置泡沫灭火系统”或“采取防火措施”。因此，该规范主要描述的是应采取的措施或方法，符合method类的定义。
固体废弃物应回收和综合利用。,others,general,错误,该规范表述的是固体废弃物应回收和综合利用的原则性要求，属于宏观层面的设计指导思想，类似于general类样本中的“应根据...要求选用”、“应符合...要求”等表述。而method类则更多强调具体的措施和技术手段，如“应采取...措施”。因此，该规范更符合general类的定义。
区间线路线间距及其加宽应符合下列规定：1 直线地段的线间距不得小于表3．1．8-1规定的数值。,reference,reference,正确,尽管该规范提到了具体的数值要求，但核心在于需要参照外部表格（表3.1.8-1）来确定具体的线间距数值，这符合reference类的定义，即需要引入外部的表格来确定具体要求，而不是直接从BIM模型中获取的信息。因此，该规范属于reference类。
热处理车间地面荷载标准值，可按表F．0．2的规定采用。,reference,reference,正确,该规范提到“热处理车间地面荷载标准值，可按表F．0．2的规定采用”，明确指出了需要依据外部表格或数据来确定具体值，符合reference类的定义。而indirect类通常涉及的是需要从BIM模型中提取信息并进行推导计算的情况，该规范并未涉及这种情况。
当同一建筑地上、地下为不同使用功能时，楼梯踏步高度和宽度可分别按本标准表6．8．10的规定执行。,reference,reference,正确,该规范明确提到了“应按本标准表6．8．10的规定执行”，这表明它需要参考外部表格中的具体规定，符合reference类的定义，即需要引入外部的图片、公式、表格以及他条款或附录。而indirect类主要涉及从BIM模型中直接获得的信息进行推导和计算，该规范并不涉及这种情况。因此，最终分类应为reference类。
同时承受剪力和杆轴方向拉力的普通螺栓，应负荷下列公式的要求：[图片]73,reference,reference,正确,该规范明确提到螺栓应符合特定公式的具体要求，这与reference类的定义相符，即需要引入外部公式来验证规范要求。而indirect类则更多涉及从BIM模型中提取信息并进行计算或推导来满足规范要求，该规范并未体现这一点。因此，该规范更适合归类为reference类。
机物料仓库面积宜根据企业规模和易损件、纺专器材的消耗定额确定，也可按本规范附录H的规定确定。,reference,reference,正确,尽管规范提到根据企业规模和消耗定额确定面积，看似需要一定的推导和计算，但更为关键的是规范明确提到了“也可按本规范附录H的规定确定”，这意味着需要参照外部规范文件来进行确定，符合reference类的定义。因此，该规范应归类为reference类。
树脂混凝土的线收缩率不应大于0．005％，线收缩率试验检测应符合本标准附录D的规定。,reference,reference,正确,尽管规范中提到“线收缩率不应大于0．005％”，这一部分确实需要从BIM模型中获取相关数值并进行判断，但更重要的是，该规范明确指出了“线收缩率试验检测应符合本标准附录D的规定”，这意味着需要参考外部的附录内容，符合reference类的定义。因此，该规范更符合reference类的特征。
对于有大面积地面堆载的单层厂房和露天栈桥，当在使用过程中允许调整起重机轨道时，其地基设计应按现行国家标准《建筑地基基础设计规范》GB 50007的规定，计算由地面荷载引起柱基内侧边缘中点的地基附加沉降量，且不应超过其规定的允许值。,reference,reference,正确,尽管该规范涉及具体的地基沉降计算，需要基于BIM模型中的信息进行推导和计算，但它特别指出了需要按照现行国家标准《建筑地基基础设计规范》GB 50007的规定进行计算，强调了对外部规范的引用。因此，该规范更符合reference类的特征。
特大、大、中、小桥及涵洞按单孔跨径或多孔跨径总长分类规定见表1．0．5。,reference,reference,正确,该规范提到“特大、大、中、小桥及涵洞按单孔跨径或多孔跨径总长分类规定见表1．0．5”，这表明需要参照外部表格来获取详细分类标准，符合reference类的定义，即需要引入外部的图片、公式、表格以及他条款或附录。而general类更多是对设计过程提供宏观指导，不涉及对外部资料的引用。
岩溶场地可根据岩溶发育程度划分为三个等级，设计时应根据具体情况，按表6．6．2选用。,reference,reference,正确,尽管规范提供了关于岩溶场地等级划分的设计指导原则，但关键在于它明确指出了“按表6．6．2选用”，这表明需要参照外部表格来具体实施，符合reference类的定义。因此，相较于general类，该规范更倾向于需要引入外部信息来进行具体选择，故归为reference类。
常用防火板主要技术性能参数可见附录B表B．0．2。,reference,reference,正确,该规范明确提到“常用防火板主要技术性能参数可见附录B表B．0．2”，这一表述表明需要查阅外部资料（即附录B表B．0．2）来获取详细的技术参数，符合reference类的定义，即需要引入外部的表格。而term类则主要用于定义规范中使用的术语，格式为“中文 英文：解释”，该条文并不符合这一格式。因此，该规范应归类为reference类。
机墩上的作用及作用组合按表6．3．5采用。,reference,reference,正确,该规范提到“按表6．3．5采用”，明确指出了需要参考外部表格来确定具体的作用及作用组合，符合reference类的定义。虽然提到的具体数值和条件组合可能需要一定的推导，但这并不改变其主要特征，即依赖外部表格信息这一点。因此，将其归类为reference类更为合适。
轨道运输中部甩车场平曲线半径宜按表5．1．18选取，并应按车辆运送长材料时的条件进行校核。,reference,reference,正确,该规范提到“宜按表5．1．18选取”，并且需要“按车辆运送长材料时的条件进行校核”，这表明规范要求参照外部表格来确定平曲线半径，符合reference类的定义，即需要引入外部表格。虽然涉及到数值校核，但这主要依赖外部表格的数据，而不是基于BIM模型中的多个实体进行间接计算或推导，因此不属于indirect类。
储存库房内存放商品应紧凑、有规律，货架或堆垛间的通道净宽度应符合表4．3．6的规定。,reference,reference,正确,该规范提到“货架或堆垛间的通道净宽度应符合表4．3．6的规定”，这表明需要参考外部表格来确定具体数值，符合reference类的定义，即需要引入外部的图片、公式、表格以及他条款或附录。虽然涉及具体尺寸，但关键在于需要参照外部规定，而不是直接从BIM模型中获取信息或需要进行间接计算。
地下管线之间的最小水平间距及最小垂直净距，宜符合表7．2．3-1和表7．2．3-2的规定。,reference,reference,正确,该规范明确提到了“宜符合表7．2．3-1和表7．2．3-2的规定”，这符合reference类的定义，即需要引入外部表格来满足规范要求。虽然规范涉及到管线间距，但关键在于它指向了外部表格，而不是直接从BIM模型中进行推导或计算，因此不属于indirect类。
地下管线之间的最小垂直净距应符合表A．0．3的规定。,reference,reference,正确,该规范明确指出地下管线之间的最小垂直净距应符合表A．0．3的规定，这一要求需要参考外部表格来确定具体数值，符合reference类的定义。尽管规范涉及具体数值和条件判断，但其核心在于引用外部规定，而不是基于BIM模型内的信息进行推导计算，因此不属于indirect类。
当必须采用单独接地时，医疗电气设备接地应与医疗场所接地绝缘隔离，两接地网的地中距离应符合本规范第12．7．1条的规定。,reference,reference,正确,尽管该规范涉及具体数值和条件判断，但关键在于它引用了“本规范第12．7．1条的规定”，这意味着需要参照外部的具体条款或标准来进行判断，符合reference类的定义。而indirect类更多是基于从BIM模型中推导和计算特定信息，该规范并未明确表示需要这样的推导和计算过程。因此，该规范属于reference类。
采暖室内计算温度宜符合表14．1．5的规定。,reference,reference,正确,该规范明确提到“宜符合表14．1．5的规定”，这表明它需要参照外部表格中的信息来确定具体数值，与reference类的定义相符。而indirect类则更多涉及到基于BIM模型中信息的推导和计算，该规范并不涉及这样的过程。
最小单位水泥用量应满足表6．4．1-1的规定。,reference,reference,正确,该规范明确提到了“应满足表6．4．1-1的规定”，这表明需要参照外部表格来确定具体的水泥用量标准，这与reference类的定义一致，即需要引入外部的表格来完成规范要求。而indirect类通常涉及的是需要通过模型内多实体间关系进行计算或推导才能得出的结果，而不是单纯引用外部资料。
冷库负荷计算应符合现行国家标准《冷库设计规范》GB 50072的有关规定。,reference,reference,正确,该规范明确提到“冷库负荷计算应符合现行国家标准《冷库设计规范》GB 50072的有关规定”，这一表述指向需要引入外部标准进行参考，符合reference类的定义，即需要引入外部的标准或规范进行检查。而general类则侧重于提供宏观设计指导，不涉及具体的外部参考资料，因此该规范更符合reference类的特征。
建(构)筑物的抗震设防分类应按使用功能的重要性、生产规模、受灾停产后经济损失和修复难易程度等因素确定，并应符合表9．1．4的规定。,reference,reference,正确,尽管规范强调了抗震设防分类应根据多种因素综合确定，体现了宏观指导的思想，但该规范特别指出了“应符合表9．1．4的规定”，这表明需要参考外部的表格来确定具体的抗震设防分类，符合reference类的定义。
输气站的采暖通风和空气调节设计应符合现行国家标准《采暖通风与空气调节设计规范》GB 50019的有关规定。,reference,reference,正确,该规范明确提到“应符合现行国家标准《采暖通风与空气调节设计规范》GB 50019的有关规定”，这种表述需要参照外部标准或规范，符合reference类的定义。而general类通常指的是宏观指导性语言，不涉及具体引用外部规范或标准。因此，该规范更符合reference类的特征。
观众看台功能分类应符合表4．3．3的规定。,reference,reference,正确,该规范明确指出“观众看台功能分类应符合表4．3．3的规定”，这表明需要参考外部表格来确定具体的分类要求，符合reference类的特征。而general类通常是宏观指导性的描述，没有指向具体的外部参考资料。因此，该规范更符合reference类的定义。
粉末活性炭吸附 powdered activated carbon adsorption：投加粉末活性炭，用以吸附溶解性物质和改善臭、味的净水工序。,term,term,正确,该规范采用了“粉末活性炭吸附 powdered activated carbon adsorption”的术语定义格式，并解释了其具体含义和用途，符合term类的定义和前几个样本的特征。虽然涉及净水工序，但没有提到需要参考外部图片、公式、表格或其他条款，因此不属于reference类。
三击贯入度 the total penetration of three drives：指填充料夯实完毕后，以锤径为355mm，质量为3500kg的柱锤，落距为6．0m，连续三次锤击的累计下沉量。,term,term,正确,该规范提供了“三击贯入度”的定义及其具体解释，格式为“中文 英文：解释”，符合term类的定义特征。尽管描述中包含了具体的测量方法和参数，但这并不意味着需要参照特定的技术说明或图表，而是为了明确术语的定义，因此归类为term类更为合适。
防眩设施 anti-glare facilities：为夜间行车的驾驶人员免受对向来车前灯眩光干扰而设置的构造物。,term,term,正确,该规范的格式为“中文 英文：解释”，并且是对术语“防眩设施”的定义和说明，符合term类的定义。虽然它提供了详细的解释，但没有涉及到引用外部图片、公式、表格或他条款，因此不属于reference类。
酒店式办公楼 hotel-office building：提供酒店式服务和管理的办公楼。,term,term,正确,该规范采用了“中文 英文：解释”的格式，定义了“酒店式办公楼”这一术语及其对应的英文翻译，并提供了对该术语的简要解释，符合term类的定义。相比之下，它并未提供宏观设计指导，因此不符合general类的特征。
隔离墙 dividing wall：在软土地基中设置的对地基中渗流、竖向沉降或侧向挤压起隔离作用的连续墙体。,term,term,正确,该规范采用了“中文 英文：解释”的格式，具体定义了“隔离墙 dividing wall”的概念及其功能作用，符合term类的定义和样例特点。而reference类的样本多涉及引用外部图表、公式或标准规范的内容，与该规范的形式不符。
容许剪应力 allowable shear stress：沥青混合料的抗剪强度与抗剪强度结构系数之比。,term,term,正确,该规范采用了“容许剪应力 allowable shear stress：沥青混合料的抗剪强度与抗剪强度结构系数之比”的格式，即中文和英文解释并列的形式，这符合term类的定义。同时，提供的term类样本也多采用类似的术语定义格式，而reference类则更多涉及具体公式、图表引用或条款引用，因此该规范更符合term类的特征。
列车竖向动力 vertical dynamic force of train：列车运行时产生的竖向动力作用。,term,term,正确,该规范定义了“列车竖向动力”的中文和英文，并提供了其解释，符合term类的定义，即“此类条款定义了规范中使用的术语，格式为‘中文 英文：解释’”。虽然它描述了一种物理现象，但并没有引用外部的公式、表格或其他条款，因此不属于reference类。
其他用地(E)：规划范围内除居住区用地以外的各种用地，应包括非直接为本区居民配建的道路用地、其他单位用地、保留的自然村或不可建设用地等。,term,term,正确,该规范定义了“其他用地(E)”并详细列举了其包含的内容，符合术语定义的格式。尽管它提供了一些宏观指导性质的内容，但核心在于对“其他用地(E)”的明确定义和描述，类似于其他term类样本中的用地类型定义。因此，它更适合归类为term类。
多热源分别运行 independently operation of multi-heat sources：在采暖期或供冷期用阀门将供热系统分隔成多个单热源供热系统，由各个热源分别供热的运行方式。,term,term,正确,该规范提供了“多热源分别运行”的术语及其英文翻译，并对其进行了详细的解释，符合term类的定义，即定义了规范中使用的术语，格式为“中文 英文：解释”。虽然描述了一种具体的运行方式，但没有涉及到需要参考其他文档或附录来完整理解的内容，因此不属于reference类。
日变化系数 daily variation coefficient：最高日供水量与平均日供水量的比值。,term,term,正确,该规范采用了“中文 英文：解释”的格式，定义了一个术语及其英文翻译和含义，符合term类的定义。虽然涉及到了一个比值的计算，但其主要目的是为了定义术语，并不是为了引入外部的公式或计算方法，因此更符合term类的特征。
操作温度 operating temperature：在稳态操作条件下，一个系统内介质的温度。,term,term,正确,该规范采用了“中文 英文：解释”的格式，明确定义了一个术语及其含义，符合term类的定义。尽管涉及操作温度的定义可能需要参照特定条件，但这并不改变其作为术语定义的本质，因此不属于需要引入外部参考的reference类。
反应位移法Ⅱ seismic displacement method Ⅱ：适用于成层地层中地下结构的形状简单断面的反应位移法。,term,term,正确,该规范定义了术语“反应位移法Ⅱ seismic displacement method Ⅱ”及其适用范围，符合术语定义的格式，即“中文 英文：解释”。尽管它提到了特定的计算或分析方法，但主要目的是定义术语，而不是引用外部资源或具体应用方法，因此更符合term类的特征。
水环境敏感路段 sensitive section of water environment：路线穿越要求排放水质为不低于现行《地表水环境质量标准》（GB 3838）中Ⅳ类水质标准区域的路段，或穿越要求排放水质为不低于现行《海水水质标准》（GB 3097）中的第三类水质标准海域的路段。其中穿越要求水质不低于Ⅱ类区域或第一类海域的路段为水环境强敏感路段；要求水质不低于Ⅲ类区域或第二类海域的路段为水环境中敏感路段；要求水质不低于Ⅳ类区域或第三类海域的路段为水环境弱敏感路段。,term,term,正确,该规范定义了“水环境敏感路段”的概念，并详细描述了不同类型的水环境敏感路段及其对应的水质标准，这符合术语定义的格式，即“中文 英文：解释”。虽然规范提到了相关的水质标准，但主要目的是为了定义术语，而不是引用外部标准或公式。因此，更符合term类的特征。
弯道超高super elevation at curve：为平衡机动车在弯道上行驶所产生的离心力所设置的弯道横向坡度而形成的高差。,term,term,正确,该规范采用了“术语：解释”的格式定义了“弯道超高super elevation at curve”，符合term类的定义。虽然它包含了工程参数和专业解释，但其主要目的是定义术语及其含义，而不是引用外部标准或公式，因此更符合term类的特征。
绿化用地 green area：指公园用地内用以栽植乔木、灌木、草本植物的用地。,term,term,正确,该规范采用了“绿化用地 green area：指公园用地内用以栽植乔木、灌木、草本植物的用地。”这种格式，明确给出了术语及其英文翻译和解释，符合term类的定义。而reference类则主要涉及引用外部的标准或规范，该规范并未提及引用其他标准或规范，因此归类为term类更为合适。
塑料填料 plastic media：用以提供微生物生长的载体，有硬性、软性和半软性填料。,term,term,正确,该规范采用了“中文 英文：解释”的格式来定义术语“塑料填料”，这与term类的定义完全吻合。虽然解释部分提到了几种类型，但没有指向需要参考其他资料或章节的进一步说明，因此不属于reference类。
地震作用效应 seismic effect：由地震作用引起的桥梁结构内力与变形等作用效应的总称。,term,term,正确,该规范符合术语定义的格式“地震作用效应 seismic effect：由地震作用引起的桥梁结构内力与变形等作用效应的总称”，直接给出了术语及其英文翻译和解释，符合term类的定义。虽然描述了地震作用效应的概念和定义，但并未提及需要参考具体的地震作用标准或公式，因此更符合term类而非reference类。
塑性耗能区 plastic energy dissipative zone：在强烈地震作用下，结构构件首先进入塑性变形并消耗能量的区域。,term,term,正确,该规范的格式符合“中文 英文：解释”的定义模式，类似于term类的样例，如“染毒区 airtightless space：防空地下室中能抵御预定的爆炸动荷载作用，但允许染毒的区域。”它明确地定义了一个术语及其含义，并未涉及到需要引入外部图片、公式、表格或其他条款或附录的内容。因此，该规范应归类为term类。
典型气象日 typical meteorological day：在典型气象年中所选取的代表季节气候特征的一日。以典型气象年最热月（或最冷月）中的温度、日较差、湿度、太阳辐射照度的日平均值与该月平均值最接近的一日，称为夏季（或冬季）典型气象日。,term,term,正确,该规范提供了“典型气象日”的定义及其英文翻译，符合术语定义的格式，即“中文 英文：解释”。尽管定义中提到了需要参照特定的气象年数据，但主要目的是为了定义这个术语本身，而不是引入外部图片、公式或表格等信息。因此，它更符合term类的特征。
远控消防炮系统(简称远控炮系统) remote-controlled fire monitor extinguishing systems(abbreviation：remote-controlled monitor systems)：可远距离控制消防炮的固定消防炮灭火系统。,term,term,正确,该规范提供了远控消防炮系统的中文名称和英文翻译，并对其进行了简要的定义描述，符合术语定义的标准格式。虽然它涉及到特定系统的定义，但并未提及需要参照其他标准或规范进行进一步说明，因此更符合term类的特征。
