title,text,predicted_label1,predicted_label2,true_label,result,confusion_point
Employees Unhurt In 20 Ft Fall From Steel Cage,At about 8 a.m. on march 6 1990 employees #1 #2 and #3 were working on a steel cage made from rebar. The cage was the foundation for a concrete column for a bridge support. It was set into a cofferdam and supported by 3/8 in. Guys at each of four corners. One guy failed and employees #1 #2 and #3 fell approximately 20 ft to the bottom of the cofferdam. None of the employees was seriously injured.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the steel cage’s failure originated from a structural support (guy wire) malfunction, aligning with structural collapse cases; it might also be classified as struck by falling object because the cage itself fell freely after the guy failed, acting as a falling object that caused the fall, similar to unsecured loads or rigging failures."
Employee Falls From Tower And Dies,At approximately 3:50 p.m. on march 7 2001 employee #1 a crew leader and three coworkers were replacing a 1.625 in. Coax cable on the top of a 400 ft wire guy tower. After climbing the tower employee #1 tied off to the electrical capstan hoist load line. In the process of riding the line down cable snap-ins were removed that secured the old cable to the side of the tower. On the ground the new cable was tied to the hoist line and employee #1 rode the hoist load line back up to the top of the tower where the new cable was temporarily secured. The old cable was tied in to the hoist line at the top of the tower and employee #1 got on the hoist load line and signaled the trainee hoist operator to lower the line. Employee #1 and old cable were lowered about 20 ft when the line stopped sliding around the drum of the capstan hoist. The trainee hoist operator was instructed to remove one of six wraps of rope from the drum. In attempting to remove a wrap the rope line came off the hoist drum and employee #1 and the old cable fell from near the top of the tower to the ground. Employee #1 died.,collapse of object,falls,collapse of object,正确,"The text might be classified as collapse of object because the failure of the hoist system (rope line slipping off the drum) could be misinterpreted as a mechanical/structural collapse of equipment; it might also be classified as falls because the first uncontrolled action was the loss of controlled descent due to equipment malfunction, directly causing a fatal fall from elevation unrelated to structural failure."
Driver Is Killed When Crushed By Pipe,At approximately 8:30 a.m. on june 22 2006 employee #1 a truck driver was helping another driver unload a 60 in. Section of concrete storm sewer pipe (that weighed approximately 12 000 lbs) from a flat bed trailer. A contract employee was operating a front-end loader with a fork attachment to move the pipe. The pipe section rolled off the forks and crushed employee #1 between the truck and the pipe. He was killed. This offloading procedure was routine and was performed frequently. There were no weather factors contributing to the accident. The company had a safety program.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the pipe’s movement and crushing force could be misconstrued as a structural failure of the trailer or loader system; it might also be classified as struck by falling object because the pipe rolled off the loader’s forks (a free-falling object during routine handling) with no structural collapse, directly striking the victim."
Employee Killed When Crushed By Land/Rockslide,Employee #1 and three coworkers were preparing a road bed for logging while working alongside a 10 to 15 ton granite boulder. A land/rockslide occurred crushing employee #1 to death.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the land/rockslide could imply a structural failure of the terrain or boulder stability; it might also be classified as struck by falling object because the rockslide involved freely falling rocks without explicit mention of structural failure (e.g., man-made structure collapse), aligning with objects falling from elevation."
Two Employees Injured In Fall From Unsecured Scaffold,At 10:34 a.m. on december 21 2007 employees #1 and #2 who had started work that day at 8:00 a.m. were on their first and second days respectively at the job site. They were assigned by the supervisor to fasten the gutter onto the roof edge. Employees #1 and #2 were working from a scaffold when it started to bend away from the building. Both workers fell off the scaffold landing on a concrete surface. Emergency services responded and transported both men to ucla westwood hospital. Employee #1 suffered a fractured right wrist and was hospitalized for two days. Employee #2 suffered fractures to his right heel and right hip and a back injury; he was hospitalized for five days. There were no witnesses to the accident. The scaffold had been erected a few months earlier by an independent scaffold contractor. About a month prior to the accident a coworker engaged in plastering work had cut two wire ties on the scaffold to apply the final color-coat of stucco.,collapse of object,falls,collapse of object,正确,"The text might be classified as collapse of object because the scaffold bending away from the building suggests structural instability (e.g., prior removal of wire ties compromising integrity); it might also be classified as falls because the workers fell from an elevated scaffold without explicit evidence of full structural collapse, emphasizing the fall itself rather than the initiating structural failure."
Employee Is Injured In Trench Collapse,On february 2 2012 employee #1 was performing work in a trench with no shoring support. The trench collapsed and buried employee #1 to his neck. Employee #1 sustained multiple internal injuries. Employee #1 was transported to a local hospital and was admitted to the intensive care unit for treatment of his injuries.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the trench walls collapsed due to lack of shoring, implying structural failure of the excavated earth; it might also be classified as struck by falling object because the collapsing soil/earth functioned as a falling material that struck and buried the victim, absent explicit mention of pre-existing structural instability (e.g., pre-cracked walls)."
Employee'S Finger Is Crush By Falling Metal Catwalk,"At approximately 2:00 p.m. on august 12 2013 employee #1 and a crew were demolishing old structures in a flour packer section of a flourmill. Employee #1 tore apart an l-shape metal catwalk wherein one side of the shorter span of the ""l"" was attached to the longer span by 3 bolt and knots and the other side standing on two legs. He had already removed the three bolt and knots but the span was still in place/suspended maybe due to the long period of being attached. As he tried to grab a hammer under the catwalk the catwalk span suddenly came down crushing his right hand against the concrete floor. Employee #1 was transported to an urgent care clinic where he stayed overnight for observation then was transferred to a medical center where he was treated for his injuries and hospitalized. The incident resulted in the amputation of his right middle finger.",caught in/between objects,collapse of object,collapse of object,正确,"The text might be classified as caught in/between objects because the employee’s hand was crushed between the falling catwalk and the concrete floor, resembling a ""caught between"" mechanism; it might also be classified as collapse of object because the catwalk’s fall resulted from structural instability caused by the removal of bolts (a structural failure), which initiated the unintended collapse of the suspended structure."
Employee Suffers Skull Fractures From Structural Collapse Wi,At approximately 2:10 p.m. on may 22 2013 employee #1 of broken arrow communications was injured while working in a trench when a masonry block wall located parallel with and immediately adjacent to the trench became unstable and collapsed. As the wall fell away from the trench it landed on shrubbery and terrain preventing it from falling flat. The wall now laying at an angle to the ground slid into the trench pinning the head of employee #1 between the concrete footer of the fallen wall and the opposite side wall of the trench. Employees on scene used a back hoe to lift the wall off of employee #1 who was trapped and he collapsed into the trench. Employee #1 was able to crawl out of the trench on his own. Employee #2 a foreman called 911 and units from henderson nevada fire department and henderson police department were dispatched. On arrival fire units found employee #1 laying on the ground in the parking lot to the west of the accident scene. They stabilized employee #1 and transported him via ambulance to sunrise medical center where he underwent surgery to treat skull fractures and nerve damage to his face. Employee #1 was admitted to the trauma intensive care unit on may 22 2013 with a generally positive prognosis.,collapse of object,struck by moving objects,collapse of object,正确,"The text might be classified as collapse of object because the masonry block wall’s instability and collapse represent a structural failure initiating the accident sequence; it might also be classified as struck by moving objects because the collapsed wall slid into the trench as a moving object (not in free fall), pinning the victim against the trench wall."
Employee Falls Off Roof And Fractures Arm,On september 23 2013 employee #1 a journeyman plumber was working for a plumbing company and providing services at a residential building. To unclog a drain he needed to access the roof of the building. Employee #1 used an extension ladder to go up to the roof of the one-story house. After completing his work he started descending the ladder when it slipped out. Employee #1 fell onto a concrete driveway below and fractured his left arm. Emergency medical personnel were summoned. They arrived and transported him to a medical center where he received treatment and was then hospitalized.,falls,collapse of object,collapse of object,正确,"The text might be classified as falls because the ladder slipped due to improper securement (a slip/trip incident without structural failure) ; it might also be classified as collapse of object if the ladder’s movement is misinterpreted as a structural failure (e.g., instability akin to a collapsing object, as seen in similar ""collapse of object"" samples where ladders fall due to loss of support)."
Employee Injured In Fall When Scaffold Overturns,On october 13 2006 employee #1 a foreman was working on the wall of a laboratory room at the university of california-davis. He moved a rolling scaffold into one corner of the room to reach the top of the wall. He positioned the scaffold with one wheel resting on a plywood cover that had been placed there by the primary contractor to cover a floor opening. After locking the wheels of the scaffold employee #1 ascended the scaffold and began to work on the wall. Upon completing the job he was starting to descend when he felt the scaffold begin to fall forward causing him to lose his balance. Employee #1 fell to the floor and suffered a fracture to the left side of his skull fractured ribs on his left side and a fracture to the end of his right thumb. Emergency medical personnel responded and employee #1 was transported to the university of david--sacramento where he was hospitalized for four days. Subsequent investigation determined that the plywood cover had shifted and the scaffold wheel had fallen into the hole it was covering.,collapse of object,falls,collapse of object,正确,"The text might be classified as collapse of object because the scaffold overturning could imply structural instability or failure of the equipment; it might also be classified as falls because the first uncontrolled action was the plywood cover shifting (non-structural), causing the scaffold to tip and the victim to lose balance and fall from elevation."
Employee Is Killed When Roof Section Collapes,At approximately 2:40 p.m. on february 26 2013 employee #1 was working with coworkers demolishing a building. A section of the building's roof collapsed and employee #1 was crushed. The employee was pronounced dead at the scene.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the roof section’s collapse during demolition could imply structural failure inherent to the building being dismantled; it might also be classified as struck by falling object because the roof section detached and fell as a singular object during demolition work, functioning as a free-falling hazard without explicit structural failure (e.g., no mention of prior cracks, instability, or gradual failure)."
Employee Dies From Possible Electrocution,On september 2 2010 employee#1 a construction laborer and a coworker were installing a new water heater. It was determined that a new hot water line needed to be installed. Employee #1 went under the house while the coworker waited by the water heater. The coworker waited a while but noted no activity behind the wall. The coworker walked over to the entrance of the crawl space and found employee #1 lying face down on the ground. He called for help and pulled employee #1 out. Paramedics responded and called the coroner's office. It appeared that employee #1 had been electrocuted and was pronounced dead on the site.,electrocution,others,electrocution,正确,"The text might be classified as electrocution because the employee was found dead with apparent signs of electrocution pronounced on-site; it might also be classified as others if the fatal incident stemmed from an unobserved/unreported natural cause (e.g., sudden cardiac arrest) that occurred independently during the installation task, mimicking electrocution symptoms."
Electric Shock,A power line crew was installing all dielectric self-supporting fiber-optic cable onto structures supporting an existing 69-kilovolt overhead power line. As part of the project the crew reinforced the existing structures and installed the fiber-optic cable. To install the cable the crew would hang sheaves use a pulling rope to pull the cable through the sheaves and permanently attach the cable to the structure. The employees would reinforce the existing structures by replacing some poles installing additional cross braces below the power line and installing supporting braces above the crossarm. The employees worked with the power line energized some of the time and deenergized at other times. The employer relied on employee work practices to avoid violating the minimum approach distance when the line was energized. However because of the placement of the braces and fiber-optic cable maintaining the minimum approach distance was not possible on most structures. One of the employees was completing the task of clipping in the fiber-optic cable on a two-pole structure while the power line was energized. The employee was attaching the cable to the structure with a housing that included a rubber boot and reinforcing rods. As the employee was wrapping the rods around the cable one of the rods got stuck. When he jerked on the 1.8-meter-long rod to free it it passed too close to the power line and current arced to the rod. The employee was electrocuted and set on fire by the electric arc. His coworkers conducted pole-top rescue lowered him to the ground and administered cardio-pulmonary resuscitation. Their efforts were to no avail as the injured employee was pronounced dead at the scene.,electrocution,fires and explosion,electrocution,正确,"The text might be classified as electrocution because the fatal injury directly resulted from an electric arc caused by violating the minimum approach distance to an energized power line; it might also be classified as fires and explosion because the electric arc ignited flames that ""set [the employee] on fire,"" emphasizing the combustion outcome despite the electrical origin."
Electric Shock,An electrician was working on the runway lighting system at an airport. He contacted energized parts and was electrocuted.,electrocution,others,electrocution,正确,"The text might be classified as electrocution because the electrician directly contacted energized parts, fulfilling the definition of electrical shock; it might also be classified as others because the incident lacks explicit details about the electrical fault mechanism (e.g., equipment failure, improper grounding) and could ambiguously overlap with non-categorized workplace fatalities not tied to structural/mechanical causes."
Employee Burned By Arc Flash When Pliers Contact Busbar,On april 30 2002 employee was installing a new circuit breaker to a switch panel. He was using a pair of insulated needle-nose pliers to remove the busbar insulation when an unprotected part of the pliers contacted the busbar generating an arc flash. Employee #1 suffered second-degree burns over 20 percent of his upper torso for whihc he was hospitalized.,struck by moving objects,electrocution,electrocution,正确,"The text might be classified as struck by moving objects because the pliers (a handheld tool) made unintended contact with the busbar, suggesting a physical interaction with a manually manipulated object; it might also be classified as electrocution because the injury resulted directly from an arc flash caused by electrical contact, which aligns with burns from electrical faults under the electrocution category."
Employee Is Burned In Electrical Arc Flash,Employee #1 was installing an energy management device xedia technologies model number xps400 480 volt. The device was to be attached to a blank 100 amp breaking in the main breaker panel in the back of the store. Employee #1 and a factory representative installed the device to the 100 amp breaker. In the two slots above the 100 amp breaker was a 200 amp breaker and a 225 amp breaker. Employee #1 made the connections of the device to the 100 amp breaker and stepped to the right side of the panel to reenergize the breaker. He did not replace the breaker panel cover. When he moved the breaker switch to the on position an electrical flash occurred from the 200 and 225 amp breakers. Employee #1 received third degree flash burns to his left hand left arm face scalp neck and ears and was hospitalized.,electrocution,fires and explosion,electrocution,正确,"The text might be classified as electrocution because the injury involved an electrical fault (arc flash) and burns, which are often linked to electrical accidents; it might also be classified as fires and explosion because the arc flash represents an uncontrolled explosive energy release (not direct electric shock), and the burns resulted from the flash’s thermal effects, aligning with explosive/fire-related injuries."
Electric Shock,An employee was working from a scissor lift stripping conductors. A coworker noticed that the employee was lying unconscious on the floor of the scissor lift platform. When emergency medical services arrived the employee was dead. He had been electrocuted.,electrocution,others,electrocution,正确,"The text might be classified as electrocution because the employee was explicitly stated to have been electrocuted while working with electrical conductors; it might also be classified as others because the exact uncontrolled action (e.g., improper grounding, equipment malfunction) leading to electrocution is not detailed, creating ambiguity if the root cause aligns with less common scenarios outside defined categories."
Employee Suffers Electric Shock Pulling Wires On Panel Box,At 11:45 a.m. on july 10 2006 employee #1 was performing his regular duties for an electric company in porterville ca. He was pulling electrical wire through the bottom of a 480-volt main panel box when he reached into the panel through a different opening and contacted the busbar. The current entered his left cheek and exited his left shoulder. Employee #1 sustained burns to his skin and was transported to sierra view hospital where he was treated and released.,electrocution,others,electrocution,正确,"The text might be classified as electrocution because the injury directly resulted from contact with an energized electrical component (busbar); it might also be classified as others if the electrical context is misinterpreted or deprioritized, despite the explicit mention of electrical infrastructure and burns from current."
Employee Burned By Arc Flash In Work On Electrical Cabinet,On september 21 2005 employee #1 of pacific data electric an electrical contractor was helping install a new 440-volt electrical power service for a machine in a spectacle grinding facility in los angeles ca. His supervisor who was not on site had assigned him several tasks. He was replacing a slide in a module in an electrical cabinet that contained two 220-volt buses when a nut fell causing him to jump and cross-phase the buses with a screwdriver. An arc blast occured and employee #1 suffered second-degree burns on his hands and forearms and first-degree burns on his face. He was hospitalized for two days. Employee #1 was not wearing protective gloves.,electrocution,fires and explosion,electrocution,正确,"The text might be classified as electrocution because the arc blast resulted from an electrical fault (cross-phasing buses with a screwdriver), aligning with burns caused by electrical faults; it might also be classified as fires and explosion because the injury stemmed from the arc blast’s thermal energy and explosive force, which matches the category’s focus on direct combustion/explosion injuries rather than the electrical fault itself."
Employee Is Shocked And Burned In Arc Flash,At approximately 11:00 a.m. on november 18 2011 employee #1 a laborer with complete decon inc. was performing demolition work on a 70-ft-tall metal structure. He was in a genie s-85 aerial lift cutting sections of metal on the fourth floor with an oxygen and acetylene torch. The lift was not insulated to protect against electrical hazards. Winds were 10 to 15 miles per hour. When the lift platform came within 1 ft of an energized 60 000 volt phase-to-phase overhead high voltage line an arc flash occurred. Employee #1's clothes ignited and he lost consciousness. A coworker lowered the lift with the ground-level controls and assisted employee #1 out of the lift. He was hospitalized at u.c. Davis medical center for first- second- and third-degree burns to his hands arms and stomach covering a body surface area of 35 percent. There were no witnesses to the incident.,electrocution,fires and explosion,electrocution,正确,"The text might be classified as electrocution because the arc flash originated from contact with an energized high-voltage line, directly involving electrical hazards and burns; it might also be classified as fires and explosion because the arc flash caused ignition of clothing and is described as an explosive event with flames, aligning with samples where arc flashes are conflated with fire/explosion outcomes despite the electrical root cause."
Electric Shock,A two-person crew was framing a single-phase utility pole to a three-phase pole. One of the employees bent back an armor rod then reached for the other part of the rod. Either he brushed the armor rod (which presumably was on the energized phase conductor) or sweat poured from his glove onto the energized armor rod. The employee was electrocuted.,electrocution,others,electrocution,正确,"The text might be classified as electrocution because the employee directly contacted an energized conductor, resulting in fatal electric shock; it might also be classified as others because the root cause (sweat creating a conductive path) involves an atypical factor not explicitly covered by other categories, blurring the distinction between direct electrical contact and unconventional contributory elements."
Employee Burned By Contact With Overhead Power Line,On august 9 2004 employee #1 and a coworker both electrical linemen were changing out crossarms. Employee #1 was holding insulated wire cutters and reaching up and past a hot phase when the uninsulated portion of the hot stick contacted the energized phase. He sustained electrical burns to his arm and stomach for which he was hospitalized.,electrocution,exposure to extreme temperatures,electrocution,正确,"The text might be classified as electrocution because the burns resulted from direct electrical contact with an energized phase; it might also be classified as exposure to extreme temperatures because the burns involved thermal injury, albeit caused by electrical energy rather than external environmental heat sources."
Employee Burned By Arc Flash In Repair Of Hvac Pump Switch,At approximately 1:40 p.m. on or about june 20 2006 employee #1 of northern kentucky electric service inc. was identifying and repairing switch problems on an hvac pump. The switch was a part of the 1 600-amp master control panel for an occupied commercial building. The line side was energized and the load side was off; the current was 480 volts phase-to-phase and 270 volts phase-to-ground. Employee #1 was using an uninsulated tool to tighten amps and receivers when an arc flash occurred. He sustained second- and third-degree burns to his face right hand and right arm for which he was hospitalized.,electrocution,fires and explosion,electrocution,正确,"The text might be classified as electrocution because the arc flash originated from an electrical fault during work on energized equipment, aligning with electrical burns caused by direct electrical faults; it might also be classified as fires and explosion because the arc flash itself is an uncontrolled explosive release of energy causing burns, consistent with injuries directly tied to explosive events (e.g., similar samples in ""fires and explosion"" involving arc flash burns)."
Employee Electrocuted While Painting Outdoor Sign,At approximately 12:30 p.m. on september 15 2006 employee #1 who worked a billboard painting company was on a catwalk situated directly above a 7 200-volt overhead power line. He was pulling on a painting spray hose so it would reach the work area when he struck the power line and was electrocuted. A coworker rushed to help him and emergency services was called. The fire department responded and transported employee #1 to the hospital where he was pronounced dead. He had been using proper fall protection equipment and had received basic safety training but nothing related to the hazards associated with overhead power lines. His employer had been in the trade for more than 10 years and should have been knowledgeable about the safety requirements for working around power lines but it had not scheduled any special provisions for this job site. The employer had apparently acknowledged the power lines once he was on the job site and positioned the truck at the opposite end but employee #1 who was in his third week with the company was directly over the line at the time of the accident.,electrocution,others,electrocution,正确,"The text might be classified as electrocution because the employee directly contacted a live power line, resulting in fatal electric shock; it might also be classified as others because the accident emphasizes systemic safety failures (lack of training/provisions for power line work) not explicitly covered by other categories, despite the first uncontrolled action being electrical contact."
Employee Burned By Arc Flash From Electrical Box,On february 3 2006 employee #1 was trying to open the side doors on the main panel box in an equipment room to measure the voltage and amerage readings. The 480-volt 400-amp breaker was energized. He was using an uninsulated screwdriver that he had borrowed from the building's engineer and his bare hands to remove the plastic plate screwed into the panel when an arc blast occurred. Employee #1 suffered first- second- and third-degree burns to his face arm and hand. He was transported to johns hopkins bayview medical system burn center for treatment.,electrocution,fires and explosion,electrocution,正确,"The text might be classified as electrocution because the injury resulted from an electrical fault (arc blast from an energized panel) causing burns; it might also be classified as fires and explosion because the arc blast’s explosive nature resembles a non-electrical explosion event, and the small model’s ""fires and explosion"" samples include arc flash incidents despite the category definition excluding electrical burns."
Electric Shock,An employee was at the top of a building bringing out electrical lines to be used for the day. As he was pulling a grounding-type plug from a spider box the prongs came apart. The employee apparently contacted energized parts of the plug and received an electric shock. He was knocked backwards and began vomiting. Emergency medical services transported him to a hospital for treatment.,electrocution,others,electrocution,正确,"The text might be classified as electrocution because the employee contacted energized parts of the plug and received an electric shock; it might also be classified as others because the initiating event (prongs coming apart due to mechanical failure of the plug) could be interpreted as an equipment malfunction not explicitly covered by other categories, despite the electrical outcome."
Employee Is Injured By Electrical Shock,On february 23 2011 employee # 1 was working for his employer an electrical installation contractor. Employee # 1 was instructed to hook up a standby generator to back up the electric power into a square d distribution panel. Employee #1 proceeded to hook up the generator while the square d distribution panel was energized. Employee # 1 pulled the conductors into the panel and a conductor came in contact with the energized buss bar causing a flash arc. Employee # 1 suffered an electrical burn. The employee was not wearing insulating gloves. Employee # 1 was transported to san joaquin hospital. The accident was reported to cal-osha by the employer on february 23 2011.,electrocution,fires and explosion,electrocution,正确,"The text might be classified as electrocution because the injury resulted from direct electrical contact (conductor touching an energized bus bar) causing an electrical burn; it might also be classified as fires and explosion because the flash arc (a sudden explosive release of energy) is a hallmark of this category, even though the burn itself was electrical in origin."
Electric Shock,A local utility company hired an electrical contractor to install new streetlighting at the corner of a hazardous intersection. The job required installing one of the streetlights parallel to an existing 13.2-kilovolt (phase-to-phase) overhead power line. The ground worker installed the streetlighting hardware and supply cable on the pole placed a synthetic nylon sling with a choker hitch around the pole and attached the sling to the load line of a derrick truck. When the derrick lifted the pole to an upright position the derrick's tilt-pole plumber arms grasped the shaft of the pole. The operator of the derrick truck swung the load around and began to set the pole in a 1.8-meter-deep hole. The ground worker was securing the cargo straps to the pole trailer as the derrick operator was setting the pole. When the butt end of the pole contacted the bottom of the hole the pole spun the streetlight into the overhead line. The ground worker ran to the pole to try to prevent it from contacting the overhead line. He was electrocuted when he touched the supply cable on the pole. He had entry and exit wounds on his right hand and right heel.,electrocution,struck by moving objects,electrocution,正确,"The text might be classified as electrocution because the worker was directly shocked by contact with an energized supply cable; it might also be classified as struck by moving objects because the pole's unintended movement into the overhead line (due to derrick operation) initiated the hazardous event, which could be misconstrued as a moving object causing the accident."
Employee Injured By Flash Burns When Pump Arced Over,At 11:00 a.m. on may 30 2003 employee #1 received flash burns on the face and left arm. Employee #1 worked for a fire suppression system contractor. Employee #1 a supervisor was in the process of finishing up work on the fire suppression pump and standpipe system. The test was an annual flow test. The system is rather large as it services a large warehouse complex for a food supplier concern. The test had been completed and the system was about to be restored to normal status. According to witness statements one phase of a 480-volt three-phase panel main servicing the pump arced over producing a flash and an accompanying fire. According to employee #1 and to witnesses it is believed that a lug securing the middle leg in the three-wire assembly coming into the panel was loose and that this coupled with repeated wear caused a gap in the connection resulting in the arc and flash over. Employee #1 sustained second and third-degree burns to the face and was hospitalized.,electrocution,fires and explosion,electrocution,正确,"The text might be classified as electrocution because the arc flash originated from an electrical fault (loose lug in a 480V panel), directly linking to electrical burns; it might also be classified as fires and explosion because the arc caused a flash and fire, emphasizing the thermal burn injury mechanism rather than the electrical fault as the primary uncontrolled action."
Employee Injured By Electric Shock From Contact With Busbar,At approximately 9:15 a.m. on july 19 2004 employee #1 an electrician's helper was helping to rewire an old high-rise office building in los angeles ca. He applied fire stop to the electrical conduits in the walls on the first floor. The conduits brought wires up from the basement where high-voltage power lines entered the building and reduced the voltage to 120/240 volts. Employee #1 then remembered a 1 1/2 in. Conduit inside one of the service cabinets which was on the ground floor. The conduit needed a strap installed before more power lines could be brought up from the basement. Employee #1 removed two corner screws in the cabinet's door so he could open it and he was leaning forward over the splash apron to access the conduit when his head contacted a 120-volt busbar. He received an electric shock and was rendered unconscious. A coworker started cpr and revived him. Employee #1 sustained small burns on the bottom of his right arm and left thumb which provided paths for the electricity and a severe burn on the right front part of his skull. All the service cabinets on the first floor were de-energized except for one that was backfed to supply 120 volts for lighting the building. The cabinet employee #1 opened had a lockout on the breaker that was accessible from outside the cabinet however when he removed the corner screws the lock stayed on the breaker as the door opened. The busbars inside the cabinet were also backfed and had the breaker been closed an explosion would have occurred in the basement.,electrocution,fires and explosion,electrocution,正确,"The text might be classified as electrocution because the direct cause of injury was electric shock from contact with an energized busbar; it might also be classified as fires and explosion because the accident explicitly describes a backfed electrical cabinet and warns that closing the breaker would have caused an explosion in the basement, creating ambiguity between the actual shock event and the latent explosion hazard."
Electrical Repair Worker Is Shocked And Burned By Arc Flash,At approximately 1:15 p.m. on july 16 2012 an employee of solex contracting inc. an electrical contractor was replacing a power breaker cover after checking for proper wiring and power to the cell side. As he proceeded to put the panel cover back on an electric arc flash occurred. The employee suffered severe first and second degree burns to his left arm left hand and right hand. The long beach fire department which responded to this incident reported it to cal/osha's torrance district office at 16:59 p.m. on july 16 2012. The employer reported the incident to the torrance district office at 10:00 a.m. on july 17 2012.,electrocution,fires and explosion,electrocution,正确,"The text might be classified as electrocution because the arc flash originated from an electrical fault during work on a live breaker, aligning with electrical burns; it might also be classified as fires and explosion because the arc flash directly caused thermal burns (first/second degree) via explosive energy release, which is categorized under fires/explosions when the injury mechanism is flame/heat rather than direct electrical current."
Electric Shock,A three-person crew was tying a deenergized overhead power line to insulators on a crossarm on a utility pole. An energized 69-kilovolt overhead power line was also carried on this pole. Two of the employees were belted off at a height such that the crossarm was at waist level. One of them the foreman on the job started to remove a 4- or 5-foot section of armor rod from a hand line. As he was removing the armor rod he raised it into contact with the energized power line and received an electric shock. The employees on the pole were not using electrical protective equipment nor were the energized lines protected from contact. The injured employee (who was hospitalized for his injuries) had about 1 year of experience at the time of the accident. The other two employees had 6 months and 3 months experience.,electrocution,others,electrocution,正确,"The text might be classified as electrocution because the worker directly contacted an energized power line, resulting in an electric shock and hospitalization; it might also be classified as others because the absence of electrical protective equipment and unprotected energized lines represents a procedural/safety violation not explicitly covered by other categories (e.g., lack of PPE enforcement), despite the injury mechanism being electrical in nature."
Employee Electrocuted When Boom Strikes Power Line,On november 7 2003 employee #1 a laborer with c.a.c. Industries inc. was operating a pile driver. The pile driver's boom was picking up a headache ball on the sidewalk when a cable apparently contacted a 7 620 volt overhead power line. Employee #1 was electrocuted and two coworkers were injured.,electrocution,struck by moving objects,electrocution,正确,"The text might be classified as electrocution because the cable contacting the power line directly caused fatal electric shock; it might also be classified as struck by moving objects because the uncontrolled movement of the pile driver’s boom/cable initiated the contact with the power line, aligning with machinery motion as the first unintended action."
Employee Falls From Ladder After Electric Shock,"At 2:30 p.m. on october 10 2011 employee #1 was installing recessed lighting on the second floor of a building. A supervisor reportedly deenergized the power to a 277 volt line hanging from the ceiling. Employee #1 positioned a 10 ft ladder to access the installation area. He climbed the ladder and used a one-week-old milwaukee electrical proximity tester to test the insulated covered wire. Employee #1 did not get a reading from the tester. While holding the cable coming from a ""j"" box in his left hand he pulled off the scrap sheath with his right hand. Employee #1 contacted an energized 277 volt wire fell from the ladder and landed on his back and head. After evaluation at med stop urgent care employee #1 was hospitalized at sierra vista hospital for unspecified fracture(s).",electrocution,falls,electrocution,正确,"The text might be classified as electrocution because the employee contacted an energized 277-volt wire, which was the first uncontrolled action; it might also be classified as falls because the subsequent fall from the ladder (a non-structural elevation) directly caused the fractures requiring hospitalization, shifting focus to the outcome rather than the initiating event."
Employee Electrocuted Changing Ballast In Light Fixture,On august 8 2007 employee #1 was changing out a ballast in a light fixture when he was electrocuted.,electrocution,fires and explosion,electrocution,正确,"The text might be classified as electrocution because the injury directly resulted from an electric shock while handling an energized light fixture; it might also be classified as fires and explosion because electrical faults like arc flashes (a type of explosion) during ballast replacement could overlap with this category, especially if the model conflates electrical ignition sources with fire/explosion outcomes."
Electric Shock,An employer lifted an employee in the bucket of a backhoe to untangle a mylar balloon from an overhead power line. The bucket contacted the power line. The employee received an electric shock and fell from the bucket to the ground 3 meters below. He was hospitalized for his injuries.,electrocution,falls,electrocution,正确,"The text might be classified as electrocution because the first uncontrolled event was the bucket contacting the power line, directly causing the electric shock; it might also be classified as falls because the employee’s subsequent fall from the bucket (3 meters) resulted in hospitalization, creating ambiguity between the root cause (electrocution) and the consequential injury mechanism (fall)."
Employee Suffers Electric Shock From Energized Cable,On october 7 2003 employee #1 was cleaning sawdust and debris out of wooden kitchen cabinets in a new townhouse. He was reaching into a cabinet above a double-wall oven when his right bicep contacted the exposed end of an energized 240 volt non-metallic sheathed cable. He suffered an electric shock and was transported to the hospital for treatment. The cable was on a shelf inside the cabinet approximately 67 3/8 in. Above the kitchen floor.,electrocution,others,electrocution,正确,"The text might be classified as electrocution because the employee directly suffered an electric shock from contacting an energized cable; it might also be classified as others because the root cause—exposed wiring due to improper installation/maintenance—could be interpreted as a general unsafe condition not explicitly tied to structural failure, chemical exposure, or other defined categories."
